Date,Open,High,Low,Close,Volume,Adj Close
2009-09-18,91.49,95.18,90.91,93.67,679300,93.67
2009-09-17,90.00,91.40,89.46,91.01,306200,91.01
2009-09-16,90.01,91.56,89.30,89.77,391400,89.77
2009-09-15,88.38,89.68,87.52,89.43,250900,89.43
2009-09-14,87.12,88.30,86.81,87.98,286200,87.98
2009-09-11,89.24,89.47,87.00,87.59,467500,87.59
2009-09-10,88.16,89.85,87.63,88.85,357300,88.85
2009-09-09,87.17,88.33,86.43,88.18,340000,88.18
2009-09-08,86.14,88.62,85.60,87.42,563000,87.42
2009-09-04,84.68,86.08,84.00,85.82,519800,85.82
2009-09-03,82.16,84.51,81.13,84.50,553300,84.50
2009-09-02,80.88,82.24,80.15,81.60,402800,81.60
2009-09-01,83.51,85.10,80.86,81.22,643700,81.22
2009-08-31,84.47,85.39,83.57,83.88,233600,83.88
2009-08-28,85.47,85.99,84.16,85.06,203000,85.06
2009-08-27,85.83,85.84,83.65,85.06,355800,85.06
2009-08-26,85.85,86.94,85.00,85.10,400300,85.10
2009-08-25,87.14,87.98,85.71,86.05,260900,86.05
2009-08-24,89.49,89.49,86.81,87.05,362300,87.05
2009-08-21,89.25,89.70,88.33,88.67,254300,88.67
2009-08-20,86.41,89.80,86.20,88.45,485600,88.45
2009-08-19,85.31,87.25,84.60,86.26,487400,86.26
2009-08-18,86.44,86.94,84.98,86.26,360100,86.26
2009-08-17,86.72,86.72,83.15,86.56,459800,86.56
2009-08-14,90.75,90.91,86.80,87.95,638500,87.95
2009-08-13,91.13,91.34,89.60,90.74,417400,90.74
2009-08-12,90.71,92.53,89.59,91.11,450100,91.11
2009-08-11,93.39,93.88,91.80,92.37,346400,92.37
2009-08-10,93.23,93.76,92.30,93.63,296500,93.63
2009-08-07,93.74,94.50,91.57,93.70,643300,93.70
2009-08-06,96.31,96.85,92.55,93.26,622400,93.26
2009-08-05,96.73,97.04,95.97,96.60,250100,96.60
2009-08-04,94.96,97.15,94.86,96.88,443800,96.88
2009-08-03,94.86,95.64,93.41,95.00,508500,95.00
2009-07-31,94.05,95.39,93.45,93.83,296700,93.83
2009-07-30,94.76,95.90,93.81,94.02,463800,94.02
2009-07-29,95.29,97.21,93.79,94.29,930900,94.29
2009-07-28,91.73,96.96,91.69,95.62,1104300,95.62
2009-07-27,91.23,92.00,90.00,92.00,516600,92.00
2009-07-24,91.00,91.80,89.94,91.09,518400,91.09
2009-07-23,86.85,93.35,83.64,91.71,1734700,91.71
2009-07-22,88.30,91.68,87.44,88.78,1476400,88.78
2009-07-21,89.91,90.90,87.55,88.70,769400,88.70
2009-07-20,85.21,90.00,85.21,88.30,973800,88.30
2009-07-17,85.46,85.46,83.98,85.05,285900,85.05
2009-07-16,82.99,85.39,82.50,85.22,528400,85.22
2009-07-15,83.19,83.60,81.39,81.90,416800,81.90
2009-07-14,80.90,82.36,79.92,82.20,347800,82.20
2009-07-13,79.97,81.59,78.47,80.70,375300,80.70
2009-07-10,79.47,81.37,79.24,79.59,465300,79.59
2009-07-09,78.49,79.86,78.21,79.63,283700,79.63
2009-07-08,76.87,78.47,76.76,78.37,282500,78.37
2009-07-07,79.30,79.90,76.75,76.85,358600,76.85
2009-07-06,78.78,79.42,77.38,79.28,291300,79.28
2009-07-02,81.76,82.75,78.78,79.42,523000,79.42
2009-07-01,81.21,82.81,79.50,82.71,623900,82.71
2009-06-30,79.45,80.80,79.45,80.00,525400,80.00
2009-06-29,80.36,81.00,78.62,79.34,379900,79.34
2009-06-26,80.53,80.88,79.80,80.50,511500,80.50
2009-06-25,78.73,82.00,78.10,80.66,383100,80.66
2009-06-24,79.38,81.50,78.74,79.04,414400,79.04
2009-06-23,81.02,81.65,78.60,78.71,369700,78.71
2009-06-22,83.39,83.58,80.78,81.02,386000,81.02
2009-06-19,82.78,84.90,82.78,83.93,682100,83.93
2009-06-18,79.43,83.17,79.43,81.77,608200,81.77
2009-06-17,80.57,80.57,77.21,79.16,726100,79.16
2009-06-16,81.34,81.76,78.25,78.60,779500,78.60
2009-06-15,82.55,82.55,79.58,80.96,495100,80.96
2009-06-12,80.54,81.96,79.22,81.84,542100,81.84
2009-06-11,83.13,83.59,80.74,80.89,439100,80.89
2009-06-10,85.90,86.35,81.38,82.99,654400,82.99
2009-06-09,83.77,84.88,82.00,84.62,734200,84.62
2009-06-08,84.51,84.83,82.00,83.06,1072400,83.06
2009-06-05,87.01,89.55,85.11,85.43,790800,85.43
2009-06-04,89.06,89.24,87.32,88.90,449900,88.90
2009-06-03,85.68,88.28,85.20,87.02,499300,87.02
2009-06-02,83.96,87.27,83.32,86.61,554700,86.61
2009-06-01,80.54,84.83,80.00,84.56,672800,84.56
2009-05-29,80.54,80.54,77.80,79.19,634400,79.19
2009-05-28,81.93,82.03,78.66,80.07,442400,80.07
2009-05-27,79.89,83.64,79.40,80.79,701900,80.79
2009-05-26,73.33,80.08,73.33,79.16,605500,79.16
2009-05-22,75.85,76.00,73.79,74.54,223900,74.54
2009-05-21,74.96,77.12,74.34,75.35,379900,75.35
2009-05-20,78.50,78.96,74.75,75.17,722100,75.17
2009-05-19,77.39,79.03,76.39,78.10,746900,78.10
2009-05-18,75.72,77.51,73.99,77.32,504000,77.32
2009-05-15,75.19,77.35,74.50,74.86,601400,74.86
2009-05-14,72.15,77.42,72.15,75.37,871000,75.37
2009-05-13,73.77,73.83,71.30,72.52,798100,72.52
2009-05-12,77.14,77.42,72.87,74.89,693000,74.89
2009-05-11,76.50,77.65,74.65,76.55,313800,76.55
2009-05-08,77.50,78.35,75.27,77.35,645700,77.35
2009-05-07,81.48,81.90,75.66,76.88,978900,76.88
2009-05-06,84.82,85.13,80.00,80.66,598600,80.66
2009-05-05,82.65,86.00,82.65,84.27,649100,84.27
2009-05-04,80.26,84.10,79.48,82.82,599700,82.82
2009-05-01,80.41,81.90,79.66,80.16,618900,80.16
2009-04-30,82.23,84.45,80.61,81.09,1010700,81.09
2009-04-29,84.98,86.00,81.00,81.44,1026100,81.44
2009-04-28,82.96,85.50,82.41,84.17,787500,84.17
2009-04-27,80.67,86.55,80.59,83.47,1206700,83.47
2009-04-24,83.07,83.83,80.20,81.97,1881900,81.97
2009-04-23,92.39,92.39,82.54,85.31,3013600,85.31
2009-04-22,80.00,86.74,80.00,85.50,2071300,85.50
2009-04-21,77.65,81.74,76.30,80.99,765700,80.99
2009-04-20,78.20,79.10,76.73,77.77,652100,77.77
2009-04-17,79.41,80.02,77.18,79.25,728200,79.25
2009-04-16,75.96,80.39,75.00,79.01,960500,79.01
2009-04-15,72.00,75.60,71.51,74.54,785600,74.54
2009-04-14,72.82,73.55,71.84,73.05,446200,73.05
2009-04-13,71.08,74.00,70.55,73.60,488000,73.60
2009-04-09,70.27,72.24,70.05,71.50,437700,71.50
2009-04-08,67.71,69.95,67.71,69.72,522400,69.72
2009-04-07,70.13,70.45,66.75,67.17,354500,67.17
2009-04-06,70.69,71.33,68.50,69.35,287200,69.35
2009-04-03,70.01,72.55,69.21,71.08,365400,71.08
2009-04-02,68.75,73.59,68.25,69.81,833600,69.81
2009-04-01,67.06,68.19,66.08,67.50,630000,67.50
2009-03-31,65.50,68.30,64.84,66.38,418500,66.38
2009-03-30,66.80,67.29,63.10,64.73,394100,64.73
2009-03-27,69.90,69.95,67.34,68.50,618500,68.50
2009-03-26,65.58,70.75,65.58,70.75,791700,70.75
2009-03-25,65.25,67.49,61.98,65.46,394400,65.46
2009-03-24,63.01,67.12,63.01,64.50,540900,64.50
2009-03-23,62.01,63.83,60.65,63.83,396300,63.83
2009-03-20,62.48,62.68,60.39,61.11,342600,61.11
2009-03-19,63.60,63.71,62.08,62.34,652800,62.34
2009-03-18,59.69,65.16,59.20,63.72,950600,63.72
2009-03-17,56.45,60.00,56.15,59.20,518800,59.20
2009-03-16,56.80,57.80,55.76,56.13,426200,56.13
2009-03-13,56.34,56.61,54.50,56.50,488100,56.50
2009-03-12,52.85,55.89,52.02,55.15,494100,55.15
2009-03-11,52.64,54.71,51.79,52.85,436500,52.85
2009-03-10,49.76,52.92,49.76,52.25,642100,52.25
2009-03-09,48.61,51.05,48.47,49.07,369200,49.07
2009-03-06,50.27,50.27,47.89,49.19,462600,49.19
2009-03-05,50.00,51.08,49.30,49.99,451500,49.99
2009-03-04,51.25,52.35,50.00,50.75,370100,50.75
2009-03-03,53.21,53.21,49.75,50.70,658900,50.70
2009-03-02,53.93,54.28,51.88,52.60,694300,52.60
2009-02-27,53.16,55.42,53.00,54.63,307000,54.63
2009-02-26,56.23,57.26,53.75,54.13,564300,54.13
2009-02-25,56.49,56.99,54.95,55.46,807400,55.46
2009-02-24,55.21,57.38,54.97,56.23,761500,56.23
2009-02-23,56.07,56.71,54.30,54.67,877900,54.67
2009-02-20,52.70,55.90,52.41,55.50,921200,55.50
2009-02-19,55.31,56.00,53.44,53.74,456700,53.74
2009-02-18,53.49,54.65,52.43,54.45,599200,54.45
2009-02-17,54.88,54.94,52.85,53.36,657500,53.36
2009-02-13,53.47,55.36,52.43,55.05,946600,55.05
2009-02-12,50.71,53.97,49.34,53.25,3271600,53.25
2009-02-11,48.17,49.06,46.88,47.42,1416600,47.42
2009-02-10,49.91,51.49,47.68,48.11,1139600,48.11
2009-02-09,51.42,51.65,49.82,50.38,479800,50.38
2009-02-06,51.11,53.53,50.78,51.31,629500,51.31
2009-02-05,48.99,51.89,48.87,51.53,563000,51.53
2009-02-04,49.11,50.98,48.99,49.17,604900,49.17
2009-02-03,48.35,49.85,47.96,49.11,557500,49.11
2009-02-02,47.45,48.94,47.19,48.10,554300,48.10
2009-01-30,48.55,48.55,46.46,47.76,492400,47.76
2009-01-29,50.00,50.30,48.67,48.96,312100,48.96
2009-01-28,49.50,50.96,49.01,50.38,618400,50.38
2009-01-27,49.27,49.86,47.60,48.09,363400,48.09
2009-01-26,48.89,49.70,47.18,48.59,429900,48.59
2009-01-23,48.55,50.14,48.10,48.95,445700,48.95
2009-01-22,49.23,51.00,48.64,49.12,534900,49.12
2009-01-21,50.51,51.00,48.51,50.30,311200,50.30
2009-01-20,52.88,52.88,48.99,49.60,428100,49.60
2009-01-16,53.01,53.66,51.48,53.05,458100,53.05
2009-01-15,50.00,52.34,48.33,51.48,502800,51.48
2009-01-14,51.26,51.50,49.12,49.97,593500,49.97
2009-01-13,53.66,53.78,51.13,52.26,436400,52.26
2009-01-12,53.42,55.55,52.67,54.28,620600,54.28
2009-01-09,57.10,57.39,53.36,53.41,543100,53.41
2009-01-08,56.83,57.81,54.85,57.26,618400,57.26
2009-01-07,59.61,59.90,58.11,58.51,673100,58.51
2009-01-06,63.48,63.55,59.84,60.38,658500,60.38
2009-01-05,64.68,64.85,61.31,62.55,606500,62.55
2009-01-02,61.89,64.48,60.40,64.14,470800,64.14
2008-12-31,62.00,63.24,61.05,61.98,443500,61.98
2008-12-30,57.97,60.84,57.68,60.59,513000,60.59
2008-12-29,58.38,58.38,56.03,57.34,437300,57.34
2008-12-26,58.98,60.45,57.55,58.28,269700,58.28
2008-12-24,59.67,60.39,58.41,58.74,273100,58.74
2008-12-23,63.25,63.42,58.48,59.19,572400,59.19
2008-12-22,63.98,64.00,61.50,63.31,643400,63.31
2008-12-19,63.60,66.18,63.23,63.76,816700,63.76
2008-12-18,65.15,67.92,63.01,64.08,684600,64.08
2008-12-17,60.39,66.05,59.04,64.63,781200,64.63
2008-12-16,57.49,60.98,56.97,60.93,539900,60.93
2008-12-15,57.91,58.25,55.29,56.59,330000,56.59
2008-12-12,53.92,58.43,53.42,57.47,378700,57.47
2008-12-11,58.52,59.15,53.32,55.05,345700,55.05
2008-12-10,54.18,59.50,54.18,58.91,670000,58.91
2008-12-09,56.45,57.31,52.72,53.40,365200,53.40
2008-12-08,53.27,58.04,53.27,56.89,540200,56.89
2008-12-05,50.22,53.21,49.10,53.10,397300,53.10
2008-12-04,48.52,51.76,48.18,50.76,498400,50.76
2008-12-03,45.26,49.99,45.25,49.12,605600,49.12
2008-12-02,46.00,48.64,45.24,45.92,463600,45.92
2008-12-01,48.09,48.76,45.40,45.63,354500,45.63
2008-11-28,47.55,49.88,47.21,49.58,149200,49.58
2008-11-26,44.03,48.43,42.82,48.08,343900,48.08
2008-11-25,43.80,44.90,42.61,44.80,421600,44.80
2008-11-24,39.69,43.87,39.08,42.61,407100,42.61
2008-11-21,39.41,40.00,36.86,39.30,578300,39.30
2008-11-20,40.06,41.63,38.55,38.69,372000,38.69
2008-11-19,44.04,44.04,40.25,40.70,339700,40.70
2008-11-18,44.14,44.99,41.53,43.89,354700,43.89
2008-11-17,44.06,45.39,43.59,44.14,272500,44.14
2008-11-14,43.95,45.49,42.35,44.32,408300,44.32
2008-11-13,42.38,45.23,40.93,44.84,578700,44.84
2008-11-12,43.55,44.39,41.82,42.20,568300,42.20
2008-11-11,44.86,45.72,43.94,44.68,698200,44.68
2008-11-10,49.64,50.00,44.57,45.43,451700,45.43
2008-11-07,49.17,49.52,47.67,48.57,149600,48.57
2008-11-06,48.59,50.43,48.03,48.65,160900,48.65
2008-11-05,50.59,51.12,48.55,48.59,130000,48.59
2008-11-04,49.27,53.22,49.21,50.61,378900,50.61
2008-11-03,49.97,50.50,48.33,49.02,326800,49.02
2008-10-31,51.03,51.91,47.62,50.75,589000,50.75
2008-10-30,56.00,57.45,50.00,50.84,633400,50.84
2008-10-29,51.70,54.97,51.70,54.68,446500,54.68
2008-10-28,48.52,52.79,48.06,51.50,548000,51.50
2008-10-27,44.80,49.00,43.29,47.46,429000,47.46
2008-10-24,41.62,46.41,40.77,44.77,559300,44.77
2008-10-23,42.28,47.23,41.94,44.29,1192600,44.29
2008-10-22,42.91,43.87,40.00,41.08,708600,41.08
2008-10-21,45.50,45.60,42.74,43.34,607100,43.34
2008-10-20,44.91,46.36,44.17,45.85,486200,45.85
2008-10-17,44.49,46.85,42.11,44.25,568000,44.25
2008-10-16,43.38,45.12,40.98,44.69,479900,44.69
2008-10-15,44.79,46.00,40.44,40.77,894900,40.77
2008-10-14,52.29,52.55,43.66,45.50,904500,45.50
2008-10-13,51.32,52.19,49.34,51.00,97400,51.00
2008-10-10,46.67,50.80,45.00,48.35,624200,48.35
2008-10-09,51.31,52.74,48.90,49.40,323200,49.40
2008-10-08,47.08,53.00,46.50,51.28,629800,51.28
2008-10-07,49.89,49.92,46.83,48.00,437600,48.00
2008-10-06,49.95,49.95,45.19,48.95,817600,48.95
2008-10-03,57.50,57.50,50.55,50.55,504900,50.55
2008-10-02,56.76,58.20,53.25,54.55,321700,54.55
2008-10-01,55.25,59.25,54.00,57.51,350900,57.51
2008-09-30,57.70,58.25,54.16,55.49,499300,55.49
2008-09-29,58.00,61.00,55.00,56.50,494600,56.50
2008-09-26,56.51,58.94,56.01,58.82,453200,58.82
2008-09-25,59.76,59.77,56.92,57.41,250800,57.41
2008-09-24,57.19,59.71,56.22,56.83,348700,56.83
2008-09-23,57.79,59.74,56.64,56.95,451500,56.95
2008-09-22,59.50,59.89,57.68,57.90,296400,57.90
2008-09-19,62.83,66.00,59.59,60.31,1182300,60.31
2008-09-18,57.90,60.91,54.79,60.20,1583500,60.20
2008-09-17,56.53,58.00,55.60,58.00,1567000,58.00
2008-09-16,54.67,59.00,53.00,57.19,1125400,57.19
2008-09-15,53.57,57.82,53.57,56.11,790000,56.11
2008-09-12,59.18,59.50,55.42,56.70,4329400,56.70
2008-09-11,67.50,71.49,66.22,71.15,744000,71.15
2008-09-10,68.65,68.79,66.25,67.88,404200,67.88
2008-09-09,69.55,70.65,67.07,67.28,417500,67.28
2008-09-08,72.99,73.00,69.58,70.10,516200,70.10
2008-09-05,69.00,70.38,67.08,69.97,603100,69.97
2008-09-04,70.81,73.36,68.56,68.70,546700,68.70
2008-09-03,73.60,73.60,71.15,71.66,1041100,71.66
2008-09-02,70.29,74.74,69.52,73.60,1023100,73.60
2008-08-29,69.68,70.22,69.05,69.32,199100,69.32
2008-08-28,69.06,70.69,68.46,70.24,700000,70.24
2008-08-27,70.40,71.32,68.64,69.24,418200,69.24
2008-08-26,70.12,70.47,66.40,70.37,818200,70.37
2008-08-25,71.56,72.42,69.28,70.13,348000,70.13
2008-08-22,71.37,72.86,71.00,72.00,371500,72.00
2008-08-21,70.04,71.40,69.00,70.53,589700,70.53
2008-08-20,72.97,73.33,69.60,70.06,451100,70.06
2008-08-19,74.67,74.67,70.31,72.02,696900,72.02
2008-08-18,76.93,76.93,73.60,73.96,472600,73.96
2008-08-15,76.01,77.75,75.50,76.12,415600,76.12
2008-08-14,72.18,76.42,71.59,75.84,700700,75.84
2008-08-13,75.18,75.20,71.74,72.19,651300,72.19
2008-08-12,76.69,76.78,75.40,75.76,380500,75.76
2008-08-11,74.18,77.98,73.98,76.70,900700,76.70
2008-08-08,72.35,74.00,71.65,73.58,1237600,73.58
2008-08-07,72.17,73.31,70.90,71.14,478700,71.14
2008-08-06,72.27,74.50,70.79,74.37,563900,74.37
2008-08-05,68.46,73.16,67.74,72.61,1199800,72.61
2008-08-04,66.25,68.68,66.00,67.60,593100,67.60
2008-08-01,69.37,69.53,66.54,67.17,484600,67.17
2008-07-31,69.29,70.74,67.85,68.50,432300,68.50
2008-07-30,70.01,70.63,67.74,68.95,796700,68.95
2008-07-29,66.27,70.30,65.41,69.69,911000,69.69
2008-07-28,67.30,67.32,65.15,65.49,845300,65.49
2008-07-25,68.50,69.33,66.00,66.31,1791000,66.31
2008-07-24,73.68,76.00,67.10,67.30,3729300,67.30
2008-07-23,82.11,89.27,80.09,83.80,1638400,83.80
2008-07-22,75.15,82.29,74.22,81.66,828500,81.66
2008-07-21,79.39,81.04,75.81,76.39,628100,76.39
2008-07-18,82.08,82.08,78.44,79.91,772100,79.91
2008-07-17,79.55,81.28,74.98,80.83,761500,80.83
2008-07-16,72.71,77.55,71.00,77.07,879100,77.07
2008-07-15,69.18,74.87,69.12,72.34,989800,72.34
2008-07-14,73.08,73.99,69.35,70.00,1448800,70.00
2008-07-11,71.69,73.75,69.73,72.61,1088900,72.61
2008-07-10,79.19,80.14,70.46,71.52,1360300,71.52
2008-07-09,83.85,83.85,78.26,79.14,1005300,79.14
2008-07-08,78.62,84.16,77.84,83.84,819500,83.84
2008-07-07,82.73,83.47,77.13,78.51,646900,78.51
2008-07-03,79.81,81.81,79.13,80.77,184700,80.77
2008-07-02,83.74,83.74,80.05,80.05,579100,80.05
2008-07-01,83.03,83.03,79.08,81.65,820500,81.65
2008-06-30,89.03,89.03,81.83,82.62,1375900,82.62
2008-06-27,90.49,92.44,86.91,89.52,2380100,89.52
2008-06-26,91.81,91.90,89.50,90.87,424200,90.87
2008-06-25,89.80,93.84,88.93,92.90,399500,92.90
2008-06-24,88.39,91.61,87.50,88.97,431600,88.97
2008-06-23,90.49,90.82,88.23,88.63,501800,88.63
2008-06-20,92.90,92.90,89.30,89.81,509000,89.81
2008-06-19,90.83,93.28,88.96,93.21,594200,93.21
2008-06-18,89.52,91.90,89.40,90.60,581800,90.60
2008-06-17,87.84,90.15,87.44,90.15,521200,90.15
2008-06-16,87.07,88.00,85.95,87.22,676000,87.22
2008-06-13,87.03,88.46,85.69,87.38,433600,87.38
2008-06-12,87.81,88.60,86.42,86.78,447600,86.78
2008-06-11,91.92,91.92,87.20,87.43,772400,87.43
2008-06-10,90.10,92.56,90.00,92.17,336300,92.17
2008-06-09,93.28,93.28,90.06,90.96,1310000,90.96
2008-06-06,94.11,94.61,91.34,92.26,462600,92.26
2008-06-05,93.19,95.64,92.50,94.95,812900,94.95
2008-06-04,91.21,93.65,91.21,92.39,616500,92.39
2008-06-03,90.64,91.22,88.95,90.60,534300,90.60
2008-06-02,91.34,91.59,89.54,90.61,704500,90.61
2008-05-30,91.10,92.30,90.47,92.30,521900,92.30
2008-05-29,90.15,91.47,88.90,90.47,837400,90.47
2008-05-28,87.19,90.49,87.05,90.49,715100,90.49
2008-05-27,85.43,88.09,85.01,86.73,443400,86.73
2008-05-23,85.65,86.09,83.68,85.07,475600,85.07
2008-05-22,87.91,88.74,85.43,86.10,526900,86.10
2008-05-21,88.91,91.26,85.70,87.36,623400,87.36
2008-05-20,90.44,90.44,87.17,89.40,802000,89.40
2008-05-19,95.02,95.99,90.57,90.57,1259700,90.57
2008-05-16,99.00,99.76,94.70,95.42,560200,95.42
2008-05-15,99.69,99.91,98.00,98.69,369400,98.69
2008-05-14,101.27,101.75,99.00,100.67,626900,100.67
2008-05-13,97.49,101.00,96.04,100.70,730100,100.70
2008-05-12,95.01,97.90,94.00,97.55,441500,97.55
2008-05-09,93.50,95.35,92.09,94.93,1198400,94.93
2008-05-08,95.72,97.33,92.70,93.89,693400,93.89
2008-05-07,98.16,99.50,95.08,95.56,292600,95.56
2008-05-06,98.20,98.80,97.12,98.38,225200,98.38
2008-05-05,98.99,99.77,96.00,99.09,482000,99.09
2008-05-02,103.99,103.99,97.40,97.85,660900,97.85
2008-05-01,98.16,100.77,96.75,100.50,706200,100.50
2008-04-30,99.00,100.40,97.51,98.13,770400,98.13
2008-04-29,100.58,101.62,97.81,98.98,598100,98.98
2008-04-28,105.41,105.41,100.29,100.85,545200,100.85
2008-04-25,104.38,104.38,99.29,102.85,603000,102.85
2008-04-24,107.21,107.75,99.50,100.00,1977200,100.00
2008-04-23,116.00,116.00,109.90,109.90,899200,109.90
2008-04-22,117.84,117.84,110.60,113.15,634800,113.15
2008-04-21,116.00,119.22,114.75,118.28,650200,118.28
2008-04-18,113.59,115.91,113.23,114.95,470400,114.95
2008-04-17,111.35,112.39,110.29,111.48,325300,111.48
2008-04-16,109.62,113.23,109.54,112.87,563100,112.87
2008-04-15,109.99,110.24,107.59,108.59,714500,108.59
2008-04-14,110.31,111.64,107.10,107.73,501700,107.73
2008-04-11,113.58,113.58,110.01,110.54,866800,110.54
2008-04-10,110.43,115.91,110.43,113.59,625700,113.59
2008-04-09,115.00,116.17,110.00,111.33,768200,111.33
2008-04-08,114.60,116.86,113.22,114.52,341900,114.52
2008-04-07,117.03,117.78,114.05,114.80,372800,114.80
2008-04-04,120.50,120.50,116.00,116.66,507800,116.66
2008-04-03,118.79,120.23,115.15,119.05,659300,119.05
2008-04-02,119.90,121.29,116.56,118.82,590700,118.82
2008-04-01,113.99,120.00,113.32,119.73,849600,119.73
2008-03-31,108.90,114.59,105.28,113.43,794200,113.43
2008-03-28,114.61,114.61,108.72,109.60,665500,109.60
2008-03-27,115.08,116.43,112.51,112.72,508000,112.72
2008-03-26,112.35,116.00,111.23,115.00,403500,115.00
2008-03-25,113.77,115.54,112.17,113.57,375200,113.57
2008-03-24,109.90,117.98,109.77,114.80,993000,114.80
2008-03-20,100.14,109.80,100.14,109.71,1096500,109.71
2008-03-19,100.93,105.38,99.74,100.15,1266100,100.15
2008-03-18,100.00,102.11,97.66,101.54,383800,101.54
2008-03-17,97.82,100.00,95.22,98.24,354700,98.24
2008-03-14,101.65,102.54,97.58,99.61,611100,99.61
2008-03-13,98.44,103.00,95.76,101.01,694000,101.01
2008-03-12,98.50,101.20,96.33,99.08,723000,99.08
2008-03-11,93.01,98.82,92.37,96.38,815000,96.38
2008-03-10,96.94,96.94,90.09,90.57,752000,90.57
2008-03-07,94.62,97.92,94.05,96.43,755500,96.43
2008-03-06,101.48,101.48,95.17,95.60,925600,95.60
2008-03-05,96.78,102.95,96.53,101.82,1010600,101.82
2008-03-04,96.45,97.74,94.02,96.52,888400,96.52
2008-03-03,99.00,99.75,96.39,97.63,481300,97.63
2008-02-29,102.87,103.13,98.43,99.30,485400,99.30
2008-02-28,101.25,104.49,100.41,102.04,402100,102.04
2008-02-27,103.63,106.09,102.08,103.24,517800,103.24
2008-02-26,102.97,106.57,101.57,104.28,806200,104.28
2008-02-25,99.99,102.97,97.66,102.97,740200,102.97
2008-02-22,101.52,101.56,97.27,99.72,666900,99.72
2008-02-21,103.05,104.83,100.52,101.08,485600,101.08
2008-02-20,101.10,104.53,100.36,102.65,642700,102.65
2008-02-19,105.00,106.27,101.08,102.75,1127100,102.75
2008-02-15,97.07,106.00,95.55,105.25,4217300,105.25
2008-02-14,112.49,114.38,108.35,108.65,1947000,108.65
2008-02-13,106.45,112.41,104.23,109.70,858800,109.70
2008-02-12,110.99,110.99,105.41,106.05,917500,106.05
2008-02-11,109.99,111.95,107.91,110.05,995500,110.05
2008-02-08,107.28,111.00,106.81,108.30,775500,108.30
2008-02-07,107.74,109.58,101.54,107.73,1774000,107.73
2008-02-06,114.50,115.03,108.06,108.60,1005800,108.60
2008-02-05,115.99,120.00,114.29,114.88,1083100,114.88
2008-02-04,122.60,122.84,116.71,116.94,675700,116.94
2008-02-01,123.00,124.00,120.07,123.05,628900,123.05
2008-01-31,113.59,122.28,110.50,120.38,1113700,120.38
2008-01-30,119.00,119.65,114.85,115.07,999300,115.07
2008-01-29,125.52,127.36,118.50,119.28,938800,119.28
2008-01-28,128.06,128.06,120.44,125.37,945000,125.37
2008-01-25,135.47,135.47,128.59,128.79,744900,128.79
2008-01-24,126.84,135.40,126.01,132.91,1045200,132.91
2008-01-23,120.76,127.55,119.11,127.00,1180600,127.00
2008-01-22,114.01,125.45,112.30,123.56,913600,123.56
2008-01-18,122.19,123.55,119.50,121.96,1332600,121.96
2008-01-17,122.29,123.78,118.16,120.33,1159700,120.33
2008-01-16,115.24,120.59,113.38,118.80,832400,118.80
2008-01-15,115.96,122.00,113.00,115.93,1326100,115.93
2008-01-14,116.50,117.60,113.20,116.77,961400,116.77
2008-01-11,124.79,124.79,113.50,116.70,1132600,116.70
2008-01-10,117.50,124.00,115.17,123.10,1190500,123.10
2008-01-09,117.26,118.90,108.00,118.58,1418900,118.58
2008-01-08,122.33,125.00,117.42,117.87,739900,117.87
2008-01-07,126.50,129.45,119.28,123.98,1168400,123.98
2008-01-04,140.08,140.08,126.83,127.01,1450200,127.01
2008-01-03,146.64,147.72,140.11,141.70,534900,141.70
2008-01-02,147.10,150.00,142.48,146.67,703600,146.67
2007-12-31,151.96,155.49,146.43,147.07,499100,147.07
2007-12-28,151.38,152.99,150.48,151.88,293500,151.88
2007-12-27,152.36,154.95,148.51,150.63,508500,150.63
2007-12-26,148.44,153.90,146.99,152.36,480500,152.36
2007-12-24,147.00,150.00,146.60,148.45,307100,148.45
2007-12-21,144.82,146.60,141.76,146.60,970200,146.60
2007-12-20,140.01,143.59,138.82,143.59,545700,143.59
2007-12-19,146.14,146.14,139.79,140.45,629700,140.45
2007-12-18,136.41,145.96,136.07,145.46,656800,145.46
2007-12-17,140.44,141.34,135.30,135.43,466000,135.43
2007-12-14,143.99,143.99,140.29,141.39,419600,141.39
2007-12-13,142.19,144.40,139.55,144.40,697800,144.40
2007-12-12,147.88,148.90,142.50,145.17,435400,145.17
2007-12-11,150.72,150.72,143.63,144.85,497200,144.85
2007-12-10,146.73,152.00,146.73,150.05,685800,150.05
2007-12-07,149.18,151.51,144.59,146.04,464300,146.04
2007-12-06,138.88,149.54,138.01,149.15,830100,149.15
2007-12-05,139.53,140.46,136.17,138.79,516000,138.79
2007-12-04,131.52,138.61,131.52,137.51,587700,137.51
2007-12-03,134.00,136.70,131.67,132.93,410200,132.93
2007-11-30,138.03,138.03,131.39,133.15,948100,133.15
2007-11-29,134.31,136.90,132.18,134.34,666600,134.34
2007-11-28,127.91,135.64,127.19,134.61,590100,134.61
2007-11-27,126.83,128.04,121.00,127.19,634000,127.19
2007-11-26,125.37,128.77,124.53,125.99,307000,125.99
2007-11-23,124.55,125.52,122.50,125.17,140000,125.17
2007-11-21,123.42,125.62,120.22,123.34,379200,123.34
2007-11-20,122.25,126.29,120.65,124.78,538200,124.78
2007-11-19,124.21,124.21,119.11,121.24,692600,121.24
2007-11-16,129.90,129.90,124.02,124.87,821600,124.87
2007-11-15,130.00,130.00,127.40,129.25,406900,129.25
